product_id,tn_pred,tn_real
20001,0.031707305,180.21938
20002,0.031707305,334.03714
20003,0.031707305,137.98717
20004,0.031707305,12.9402
20005,0.031707305,7.66693
20006,0.031707305,15.84069
20007,0.031707305,55.22591
20008,0.031707305,12.70392
20009,0.031707305,74.67156
20010,0.031707305,0.0
20011,0.031707305,52.416
20012,0.031707305,12.75674
20013,0.031707305,34.398
20014,0.035060402,74.23416
20015,0.031707305,8.93799
20016,0.031707305,44.8812
20017,0.031707305,12.70392
20018,0.031707305,10.28861
20019,0.031707305,38.50829
20020,0.031707305,25.3344
20021,0.031707305,0.0
20022,0.031707305,5.52115
20023,0.031707305,14.196
20024,0.031707305,0.0
20025,0.031707305,13.00572
20026,0.031707305,27.29907
20027,0.031707305,29.98801
20028,0.031707305,18.08352
20029,0.031707305,5.48935
20030,0.031707305,14.8512
20031,0.031707305,0.0
20033,0.031707305,9.71607
20035,0.031707305,0.02621
20037,0.031707305,0.0
20038,0.031707305,18.86976
20039,0.04279263,0.0
20041,0.031707305,0.0
20042,0.031707305,10.03067
20043,0.031707305,8.68358
20044,0.031707305,2.54823
20045,0.031707305,15.05718
20046,0.031707305,43.00024
20047,0.031707305,3.22029
20049,0.030966036,36.6366
20050,0.031707305,4.89216
20051,0.031707305,26.387
20053,0.031707305,9.72753
20054,0.031707305,1.1201
20055,0.031707305,3.89189
20056,0.031707305,3.24324
20057,0.02038993,7.60032
20058,0.031707305,3.15675
20059,0.031707305,4.90976
20061,0.031707305,3.71549
20062,0.031707305,25.37747
20063,0.031707305,12.20599
20065,0.031707305,8.5995
20066,0.031707305,3.94867
20067,0.031707305,1.6249
20068,0.02635023,11.71932
20070,0.031707305,5.51023
20072,0.031707305,2.40786
20073,0.022213114,23.11125
20074,0.027559442,14.59457
20075,0.031707305,3.54932
20076,0.02155253,3.84051
20077,0.031707305,3.86131
20079,0.031707305,0.0
20080,0.031707305,0.0
20081,0.031707305,14.56182
20082,0.048386276,0.0
20084,0.031707305,2.69724
20085,0.031707305,32.34236
20086,0.031707305,0.0
20087,0.031707305,16.57942
20090,0.031707305,0.0
20092,0.031707305,13.104
20093,0.031707305,8.82882
20094,0.031707305,2.25584
20095,0.031707305,9.1728
20096,0.031707305,0.48912
20097,0.025172532,12.26826
20099,0.02635023,1.6505
20100,0.031707305,0.0
20101,0.031707305,9.1728
20102,0.026993062,2.47566
20103,0.031707305,4.78521
20106,0.031707305,10.43406
20107,0.031707305,3.81326
20108,0.031707305,4.29615
20109,0.025172532,6.56631
20111,0.031707305,3.34152
20112,0.022213114,16.60514
20114,0.031707305,5.11875
20116,0.031707305,1.1905
20117,0.031707305,11.95949
20118,0.031707305,3.48566
20120,0.031707305,1.67076
20121,0.031707305,3.65165
20122,0.031707305,7.91326
20123,0.031707305,8.5995
20124,0.031707305,1.57106
20125,0.031707305,2.81736
20126,0.031707305,35.38462
20129,0.02327993,2.3491
20130,0.031707305,0.0
20132,0.031707305,0.06115
20133,0.031707305,1.4742
20134,0.031707305,2.30139
20135,0.031707305,10.47396
20137,0.023002217,0.47647
20138,0.031707305,3.6786
20139,0.031707305,2.08845
20140,0.031707305,0.0
20142,0.031707305,0.0
20143,0.02155253,0.14001
20144,0.02155253,0.30036
20145,0.031707305,0.0
20146,0.031707305,4.8594
20148,0.02155253,2.86512
20150,0.031707305,5.88789
20151,0.04394229,3.45815
20152,0.031707305,0.0
20153,0.031707305,0.0
20155,0.031707305,0.0
20157,0.031707305,0.0
20158,0.031707305,2.30958
20159,0.031707305,0.0
20160,0.031707305,8.11493
20161,0.031707305,0.24841
