product_id,cluster_dtw
20085,0
20086,2
20089,0
20090,2
20092,4
20093,4
20095,3
20099,2
20101,4
20103,1
20106,4
20107,4
20108,2
20109,2
20111,3
20112,0
20114,4
20116,0
20117,2
20118,2
20119,0
20120,4
20121,0
20122,4
20123,4
20124,2
20125,4
20126,0
20127,0
20129,2
20130,0
20132,1
20133,1
20134,4
20135,0
20137,1
20138,2
20139,3
20140,4
20142,0
20143,0
20144,3
20145,3
20146,4
20148,0
20150,0
20151,2
20152,2
20153,3
20155,4
20157,3
20158,0
20159,0
20160,2
20161,1
20162,0
20164,0
20166,3
20167,4
20168,2
20170,0
20174,0
20175,1
20176,3
20177,4
20179,3
20180,1
20181,4
20182,3
20183,2
20184,3
20187,1
20188,4
20189,3
20192,4
20193,4
20196,1
20197,1
20198,4
20200,2
20201,1
20202,0
20203,0
20205,3
20206,1
20207,2
20208,2
20209,4
20211,2
20212,4
20215,4
20216,1
20219,2
20220,2
20222,4
20224,4
20225,3
20226,4
20227,0
20228,2
20230,1
20231,2
20232,0
20233,0
20234,2
20235,0
20237,0
20238,3
20239,4
20240,1
20241,4
20242,2
20244,4
20246,1
20249,2
20251,4
20252,3
20253,4
20254,1
20255,1
20256,4
20259,2
20263,4
20264,2
20265,2
20267,3
20268,4
20269,3
20270,3
20271,4
20272,4
20273,2
20277,1
20280,1
20282,3
20283,4
20284,4
20289,4
20299,0
20311,4
20322,2
