product_id,cluster
20210,2
20213,2
20218,1
20236,3
20257,2
20261,2
20262,1
20266,1
20275,1
20276,1
20278,1
20281,1
20285,1
20286,2
20288,1
20290,1
20291,1
20292,1
20295,1
20296,1
20297,1
20298,1
20300,1
20301,1
20302,1
20303,1
20304,1
20305,1
20306,1
20307,1
20309,1
20310,1
20313,1
20314,1
20315,1
20316,1
20317,1
20319,1
20320,1
20321,1
20323,1
20324,1
20325,1
20326,1
20327,1
20328,1
20329,1
20330,1
20332,1
20334,1
20335,1
20336,1
20337,1
20338,1
20340,1
20341,1
20342,1
20343,1
20344,1
20346,1
20348,1
20349,1
20350,1
20351,1
20352,1
20353,1
20354,1
20355,1
20356,1
20357,1
20358,1
20359,1
20361,1
20362,1
20364,1
20365,1
20366,1
20367,1
20368,1
20372,1
20375,1
20377,1
20378,1
20379,1
20380,1
20381,1
20382,1
20383,1
20384,1
20385,1
20386,1
20387,1
20388,1
20389,1
20390,1
20395,1
20396,1
20398,1
20400,1
20401,1
20402,1
20403,1
20404,1
20406,1
20407,1
20408,1
20409,1
20410,1
20411,1
20414,1
20415,1
20416,1
20417,1
20418,1
20419,1
20421,1
20422,1
20424,1
20426,1
20428,1
20429,1
20432,1
20433,1
20434,1
20438,1
20440,1
20442,1
20443,1
20447,1
20449,1
20450,1
20453,1
20456,1
20458,1
20459,1
20460,1
20463,1
20464,1
20465,1
20466,1
20469,1
20470,1
20473,1
20474,1
20476,1
20477,1
20478,1
20479,1
20480,1
20481,1
20482,1
20483,1
20484,1
20488,1
20490,1
20491,1
20495,1
20496,1
20497,1
20500,1
20502,1
20503,1
20505,1
20508,1
20509,1
20510,1
20513,1
20514,1
20517,1
20520,1
20521,1
20522,1
20523,1
20524,1
20525,1
20526,1
20527,1
20530,1
20531,1
20532,1
20536,1
20537,1
20538,1
20539,1
20540,1
20541,1
20542,1
20544,1
20547,1
20548,1
20549,1
20551,1
20552,1
20553,1
20555,1
20558,1
20559,1
20560,1
20561,1
20563,1
20565,1
20567,1
20568,1
20569,1
20570,1
20571,1
20572,1
20574,1
20575,1
20576,1
20577,1
20578,1
20579,1
20580,1
20583,1
20585,1
20586,1
20588,1
20589,1
20592,1
20593,1
20596,1
20597,1
20599,1
20600,1
20601,1
20602,1
20603,1
20604,1
20605,1
20606,1
20609,1
20611,1
20612,1
20614,1
20615,1
20617,1
20620,1
20621,1
20622,1
20623,1
20624,1
20627,1
20628,1
20629,1
20632,1
20633,1
20636,1
20637,1
20638,1
20639,1
20640,1
20641,1
20642,1
20644,1
20646,1
20647,1
20649,1
20651,1
20652,1
20653,1
20654,1
20655,1
20657,1
20658,1
20659,1
20660,1
20661,1
20662,1
20663,1
20664,1
20666,1
20667,1
20670,1
20672,1
20673,1
20674,1
20676,1
20677,1
20678,1
20679,1
20680,1
20681,1
20682,1
20684,1
20685,1
20686,1
20689,1
20691,1
20693,1
20694,1
20696,1
20697,1
20699,1
20700,1
20701,1
20702,1
20703,1
20705,1
20706,1
20708,1
20709,1
20711,1
20713,1
20714,1
20715,1
20719,1
20720,1
20721,1
20724,1
20729,1
20730,1
20732,1
20733,1
20735,1
20737,1
20739,1
20741,1
20742,1
20743,1
20744,1
20745,1
20746,1
20749,1
20750,1
20751,1
20754,1
20756,1
20757,1
20758,1
20759,1
20761,1
20762,1
20765,1
20768,1
20771,1
20772,1
20773,1
20774,1
20775,1
20777,1
20781,1
20783,1
20785,1
20786,1
20788,1
20789,1
20793,1
20795,1
20800,1
20801,1
20802,1
20803,1
20807,1
20809,1
20810,1
20811,1
20812,1
20815,1
20817,1
20818,1
20820,1
20822,1
20823,1
20824,1
20826,1
20827,1
20828,1
20830,1
20831,1
20832,1
20835,1
20838,1
20840,1
20843,1
20845,1
20846,1
20847,1
20849,1
20852,1
20853,1
20855,1
20859,1
20862,1
20863,1
20864,1
20865,1
20870,1
20877,1
20878,1
20879,1
20882,1
20883,1
20885,1
20886,1
20892,1
20894,1
20899,1
20901,1
20902,1
20904,1
20906,1
20907,1
20908,1
20910,1
20912,1
20913,1
20914,1
20917,1
20919,1
20920,1
20922,1
20924,1
20925,1
20927,1
20928,1
20931,1
20932,1
20933,1
20936,1
20937,1
20941,1
20942,1
20945,1
20946,1
20947,1
20948,1
20949,1
20951,1
20953,1
20956,1
20957,1
20961,1
20962,1
20965,1
20966,1
20967,1
20968,1
20970,1
20975,1
20976,1
20982,1
20985,1
20986,1
20987,1
20990,1
20991,1
20994,1
20995,1
20996,1
20997,1
21001,1
21003,1
21006,1
21007,1
21008,1
21014,1
21016,1
21022,1
21024,1
21027,1
21028,1
21032,1
21033,1
21034,1
21035,1
21037,1
21038,1
21039,1
21040,1
21042,1
21044,1
21048,1
21049,1
21055,1
21056,1
21057,1
21058,1
21064,1
21065,1
21073,1
21074,1
21077,1
21079,1
21080,1
21084,1
21086,1
21087,1
21088,1
21092,1
21093,1
21097,1
21099,1
21105,1
21109,1
21110,1
21111,1
21112,1
21114,1
21118,1
21119,1
21126,1
21129,1
21131,1
21135,1
21140,1
21142,1
21144,1
21146,1
21153,1
21154,1
21155,1
21157,1
21159,1
21163,1
21164,1
21167,1
21168,1
21170,1
21171,1
21176,1
21179,1
21180,1
21182,1
21184,1
21190,1
21191,1
21192,1
21194,1
21196,1
21200,1
21201,1
21202,1
21207,1
21209,1
21212,1
21214,1
21218,1
21222,1
21224,1
21226,1
21227,1
21233,1
21244,1
21245,1
21246,1
21248,1
21252,1
21256,1
21259,1
21262,1
21263,1
21265,1
21266,1
21267,1
21276,1
