product_id,cluster_dtw
20023,3
20025,3
20026,3
20027,3
20028,0
20029,0
20030,0
20031,3
20032,1
20033,0
20035,4
20037,4
20038,0
20039,0
20041,3
20042,2
20043,0
20044,2
20045,3
20046,2
20047,2
20049,3
20050,3
20051,4
20052,4
20053,2
20054,2
20055,3
20056,3
20057,0
20058,0
20059,2
20061,2
20062,0
20063,2
20065,0
20066,0
20067,0
20068,0
20069,0
20070,2
20071,3
20072,0
20073,2
20074,4
20075,2
20076,0
20077,4
20079,4
20080,2
20081,3
20082,0
20084,3
20087,4
20091,3
20094,2
20096,0
20097,0
20100,3
20102,4
