product_id,cluster_dtw
20001,1
20002,4
20003,1
20004,0
20005,0
20006,3
20007,3
20008,3
20009,1
20010,3
20011,1
20012,3
20013,2
20014,2
20015,2
20016,1
20017,3
20018,3
20019,1
20020,1
20021,1
20022,1
20023,1
20024,1
20025,3
20026,2
20027,3
20028,2
20029,2
20030,3
20031,1
20032,4
20033,3
20035,2
20037,3
20038,0
20039,0
20041,1
20042,0
20043,3
20044,1
20045,0
20046,0
20047,3
20049,4
20050,1
20051,2
20052,1
20053,0
20054,1
20055,1
20056,2
20057,3
20058,2
20059,0
20061,2
20062,3
20063,1
20065,0
20066,0
20067,0
20068,3
20069,0
20070,2
20071,1
20072,2
20073,2
20074,2
20075,0
20076,0
20077,3
20079,3
20080,3
20081,2
20082,2
20084,1
20085,4
20086,2
20087,3
20089,1
20090,3
20091,0
20092,0
20093,2
20094,3
20095,2
20096,3
20097,1
20099,3
20100,0
20101,0
20102,1
20103,0
20106,1
20107,2
20108,0
20109,1
20111,3
20117,1
20118,1
20120,0
20121,2
20122,0
20124,3
20125,2
20126,4
20127,1
20129,0
20130,2
20132,1
20133,0
20134,0
20135,4
20137,2
20138,3
20139,3
20142,2
20143,1
20145,0
20146,1
20148,0
20150,2
20151,1
20157,0
20158,2
20159,4
20160,2
20162,4
20164,4
20166,2
20167,0
20168,0
20170,4
20177,0
20179,0
20180,2
20181,0
20183,1
20184,3
20189,4
20192,0
20196,0
20197,0
20198,0
20200,0
20201,0
20202,2
20203,1
20206,1
20207,0
20208,3
20211,3
20212,4
20215,0
20216,2
20220,1
20235,4
20241,0
20242,1
20252,1
20253,2
20254,2
20262,4
20269,0
20270,2
20277,3
20291,2
20295,2
20299,3
20325,1
