customer_id,product_id,tn_total,acumulado,porcentaje
10004,20001,7740.34113,7740.34113,0.6894980542328538
10001,20002,6801.98519,14542.32632,1.295408759543808
10001,20001,6347.9649,20890.29122,1.8608760139422524
10003,20001,4162.77308,25053.0643,2.2316896370975026
10001,20003,3979.29151,29032.355809999997,2.586158995397001
10007,20001,3947.17979,32979.535599999996,2.9377678895275166
10004,20002,3942.7316499999997,36922.26725,3.288980549974859
10013,20001,3772.14516,40694.41241,3.6249976200783154
10007,20002,3570.21677,44264.629179999996,3.9430272100874193
10012,20001,3318.02173,47582.65091,4.238591641720852
10006,20005,3277.42658,50860.077489999996,4.5305399178817805
10004,20003,3217.67805,54077.75554,4.817165884019627
10001,20014,2937.18637,57014.94191,5.078806069254495
10003,20002,2641.29684,59656.238750000004,5.31408885605221
10001,20007,2477.80438,62134.043130000005,5.534807978127861
10003,20014,2196.02031,64330.063440000005,5.730426195125078
10002,20006,2113.3047,66443.36814,5.918676228835304
10001,20016,2063.37222,68506.74036000001,6.102478351629875
10001,20012,2062.61242,70569.35278000002,6.2862127925725995
10003,20007,2024.33823,72593.69101000001,6.4665378257012325
10001,20024,1932.0865199999998,74525.77753,6.638645213964303
10011,20001,1887.17614,76412.95367,6.806752052496453
10004,20009,1845.70517,78258.65884,6.97116471881553
10002,20008,1837.76034,80096.41918,7.134869671516536
10015,20001,1802.49137,81898.91055,7.295432916923074
10001,20013,1783.99494,83682.90549,7.454348527906134
10001,20011,1756.46016,85439.36565,7.610811381715465
10003,20003,1680.80849,87120.17414,7.760535297487256
10008,20002,1677.29764,88797.47178,7.909946471972451
10002,20005,1660.72188,90458.19366,8.05788110245584
10006,20009,1655.67024,92113.86390000001,8.205365740375312
10008,20003,1655.54132,93769.40522000002,8.352838894293283
10011,20005,1637.39038,95406.79560000001,8.49869518952217
10002,20003,1629.21774,97036.01334,8.643823478157643
10004,20011,1629.18756,98665.20090000001,8.788949078403684
10007,20003,1586.1976300000001,100251.39853,8.930245199743204
10013,20002,1576.39375,101827.79228000001,9.070668006060764
10001,20009,1575.67821,103403.47049,9.211027073141326
10009,20005,1556.46882,104959.93931,9.349674996383968
10006,20001,1485.59653,106445.53584,9.482009721637876
10004,20014,1466.3359600000001,107911.8718,9.612628744015726
10008,20001,1458.48575,109370.35755,9.742548481384118
10002,20004,1453.36303,110823.72058,9.872011894488102
10005,20010,1433.8483899999999,112257.56897,9.999736972539012
10009,20004,1429.61001,113687.17898,10.127084502014991
10002,20010,1416.01825,115103.19722999999,10.253221297762805
10002,20001,1395.5599,116498.75712999998,10.37753569417693
10003,20013,1381.34997,117880.10709999998,10.500584291200406
10003,20012,1380.31611,119260.42320999998,10.623540793515604
10002,20012,1365.8346999999999,120626.25790999999,10.745207313406274
10002,20015,1364.74592,121991.00382999999,10.866776846396899
10005,20015,1351.401,123342.40482999998,10.98715763379875
10018,20001,1346.46196,124688.86678999999,11.107098458876902
10005,20008,1341.17833,126030.04511999998,11.226568626067618
10015,20002,1337.03219,127367.07730999998,11.345669461285159
10002,20007,1327.24852,128694.32582999997,11.463898781757424
10011,20030,1269.2498,129963.57562999998,11.576961662674075
10005,20006,1226.47709,131190.05271999998,11.686214414318131
10005,20004,1226.30395,132416.35666999998,11.795451742908979
10002,20017,1179.73916,133596.09582999998,11.900541149391287
10006,20010,1177.81372,134773.90954999998,12.005459040547432
10011,20002,1172.0913,135946.00084999998,12.109867187056766
10002,20018,1154.78096,137100.78181,12.212733354272466
10004,20007,1124.75424,138225.53605,12.312924786012395
10009,20008,1120.56926,139346.10530999998,12.412743425969822
10006,20008,1107.01842,140453.12373,12.511354977291713
10006,20004,1104.52369,141557.64742,12.609744301782518
10004,20056,1094.39344,142652.04086,12.707231238698077
10010,20012,1093.52778,143745.56864,12.804641063910726
10001,20049,1089.0744200000001,144834.64306,12.901654190450378
10012,20002,1084.79038,145919.43344,12.998285701090337
10001,20019,1083.00412,147002.43756,13.094758094351144
10002,20021,1075.97819,148078.41575,13.19060462823666
10001,20008,1072.4826,149150.89834999997,13.286139780173636
10008,20042,1058.48989,150209.38823999997,13.38042848235389
10005,20021,1054.95937,151264.34760999997,13.474402691073257
10001,20046,1052.33219,152316.67979999995,13.568142874512896
10003,20046,1050.2898,153366.96959999995,13.661701124894636
10009,20006,1046.02916,154412.99875999996,13.754879843813814
10001,20030,1039.584,155452.58275999996,13.847484437483915
10002,20020,1024.95992,156477.54267999995,13.938786339898472
10005,20025,1021.71888,157499.26155999996,14.0297995352992
10005,20005,1015.08889,158514.35044999997,14.120222141069856
10010,20004,1011.77871,159526.12915999998,14.210349880938505
