product_id,cluster_dtw
20001,0
20002,3
20003,1
20004,1
20005,4
20006,4
20007,4
20008,4
20009,0
20010,4
20011,4
20012,4
20013,3
20014,0
20015,4
20016,3
20017,4
20018,4
20019,3
20020,3
20021,4
20022,1
20023,3
20024,4
20025,3
20026,3
20027,0
20028,4
20029,4
20030,4
20031,3
20032,2
20033,3
20035,3
20037,3
20038,3
20039,4
20041,4
20042,4
20043,1
20044,0
20045,3
20046,4
20047,4
20049,3
20050,3
20051,4
20052,4
20053,3
20054,0
20055,4
20056,3
20057,0
20058,4
20059,0
20061,3
20062,4
20063,0
20065,4
20066,4
20067,4
20068,4
20069,3
20070,0
20071,3
20072,4
20073,3
20074,4
20075,0
20076,3
20077,4
20079,4
20080,0
20081,3
20082,4
20084,2
20085,2
20086,4
20087,4
20089,2
20090,3
20091,3
20092,4
20093,0
20094,0
20095,3
20096,4
20097,4
20099,4
20100,4
20101,4
20102,1
20103,0
20106,4
20107,3
20108,0
20109,4
20111,3
20112,2
20114,4
20116,2
20117,4
20118,0
20119,3
20120,0
20121,0
20122,3
20123,4
20124,4
20125,3
20126,2
20127,2
20129,4
20130,2
20132,0
20133,0
20134,0
20135,2
20137,4
20138,4
20139,0
20140,3
20142,3
20143,3
20144,3
20145,3
20146,4
20148,1
20150,3
20151,4
20152,3
20153,0
20155,0
20157,0
20158,0
20159,2
20160,0
20161,0
20162,3
20164,3
20166,3
20167,3
20168,4
20170,2
20174,2
20175,4
20176,4
20177,0
20179,0
20180,3
20181,0
20182,0
20183,1
20184,3
20187,4
20188,0
20189,0
20192,3
20193,3
20196,3
20197,4
20198,0
20200,3
20201,4
20202,3
20203,2
20205,4
20206,3
20207,4
20208,0
20209,3
20210,2
20211,4
20212,0
20213,2
20215,0
20216,3
20218,3
20219,4
20220,0
20222,3
20224,0
20225,3
20226,0
20227,2
20228,4
20230,3
20231,0
20232,2
20233,3
20234,4
20235,4
20236,2
20237,3
20238,0
20239,0
20240,3
20241,1
20242,4
20244,0
20246,0
20249,3
20251,0
20252,4
20253,0
20254,0
20255,4
20256,0
20257,2
20259,3
20261,2
20262,1
20263,0
20264,4
20265,3
20266,2
20267,0
20268,0
20269,0
20270,3
20271,4
20272,4
20273,4
20275,0
20276,3
20277,3
20278,4
20280,1
20281,0
20282,3
20283,1
20284,0
20285,3
20286,2
20288,0
20289,4
