product_id,cluster_dtw
20001,2
20002,1
20003,4
20004,0
20005,2
20006,2
20007,0
20008,4
20009,2
20010,0
20011,4
20012,0
20013,4
20014,1
20015,2
20016,2
20017,0
20018,0
20019,0
20020,0
20021,4
20022,0
20023,0
20024,4
20025,4
20026,0
20027,2
20028,2
20029,0
20030,4
20031,2
20032,3
20033,4
20035,0
20037,0
20038,0
20039,0
20041,2
20042,2
20043,0
20044,2
20045,1
20046,0
20047,2
20049,1
20050,0
20051,0
20052,0
20053,2
20054,0
20055,0
20056,4
20057,0
20058,2
20059,2
20061,2
20062,0
20063,2
20065,4
20066,2
20067,0
20068,4
20069,2
20070,2
20071,2
20072,0
20073,4
20074,0
20075,2
20076,2
20077,0
20079,0
20080,4
20081,0
20082,4
20084,2
20085,3
20086,0
20087,0
20089,3
20090,0
20091,2
20092,0
20093,4
20094,2
20095,2
20096,0
20097,0
20099,0
20100,2
20101,2
20102,0
20103,2
20106,1
20107,4
20108,4
20109,0
20111,2
20112,3
20114,0
20116,3
20117,0
20118,0
20119,2
20120,2
20121,2
20122,4
20123,2
20124,2
20125,2
20126,1
20127,3
20129,4
20130,1
20132,4
20133,2
20134,4
20135,3
20137,4
20138,4
20139,2
20140,2
20142,2
20143,1
20144,4
20145,0
20146,4
20148,3
20150,2
20151,4
20152,2
20153,2
20155,4
20157,2
20158,2
20159,3
20160,4
20161,4
20162,2
20164,3
20166,0
20167,3
20168,0
20170,3
20174,3
20175,2
20176,4
20177,4
20179,3
20180,1
20181,4
20182,4
20183,4
20184,2
20187,4
20188,4
20189,4
20192,2
20193,4
20196,2
20197,0
20198,2
20200,4
20201,0
20202,1
20203,1
20205,2
20206,2
20207,4
20208,4
20209,4
20210,3
20211,0
20212,4
20213,3
20215,4
20216,0
20218,3
20219,0
20220,4
20222,0
20224,2
20225,2
20226,0
20227,3
20228,0
20230,1
20231,4
20232,2
20233,4
20234,0
20235,2
20236,3
20237,1
20238,4
20239,4
20240,4
20241,4
20242,0
20244,2
20246,4
20249,2
20251,4
20252,4
20253,4
20254,2
20255,0
20256,2
20257,3
20259,4
20261,3
20262,4
20263,4
20264,0
20265,0
20266,1
20267,4
20268,4
20269,4
20270,2
20271,0
20272,4
20273,4
20275,2
20276,4
20277,4
20278,4
20280,4
20281,4
20282,0
20283,4
20284,4
20285,4
20286,3
20288,4
20289,2
20290,2
20291,1
20292,4
20295,1
20296,0
20297,1
20298,2
20299,3
20300,4
20301,0
20302,0
20303,4
20304,4
20305,0
20306,3
20307,4
20309,4
20310,2
20311,2
20313,1
20314,4
20315,4
20316,3
20317,4
20319,1
20320,2
20321,4
20322,4
20323,3
20324,4
20325,1
20326,4
20327,4
20328,1
20329,4
20330,4
20332,2
20334,1
20335,4
20336,4
20337,3
20338,4
20340,1
20341,4
20342,4
20343,2
20344,1
20346,4
20349,4
20350,0
20351,1
20352,2
20353,4
20354,4
20355,3
20356,2
20357,4
20358,0
20359,4
20361,3
20362,0
20364,3
20365,0
20366,4
20367,4
20368,1
20372,4
20375,0
20377,1
20378,1
20379,4
20380,4
20381,3
20382,0
20383,4
20384,2
20385,4
20386,4
20387,1
20388,4
20389,3
20390,2
20395,3
20396,0
20398,0
20400,4
20401,4
20402,3
20403,1
20404,4
20406,4
20407,4
20408,3
20409,0
20410,4
20411,4
20414,3
20415,1
20416,0
20417,2
20418,0
20419,1
20421,2
20422,0
20424,4
20426,2
20428,0
20429,0
20432,4
20433,0
20434,4
20438,4
20440,3
20442,3
20443,4
20447,1
20449,0
20450,2
20453,1
20456,2
20458,3
20459,3
20460,3
20463,3
20464,0
20465,4
20466,1
20469,4
20470,1
20473,0
20474,4
20476,3
20477,3
20478,1
20479,1
20480,0
20481,3
20482,2
20483,4
20484,0
20488,1
20490,0
20495,1
20496,1
20497,4
20500,4
20502,4
20503,1
20505,4
20508,1
20509,4
20510,3
20513,3
20514,2
20517,4
20520,4
20521,3
20522,3
20524,4
20527,3
20530,2
20532,4
20536,4
20538,2
20539,0
20544,1
20547,3
20549,0
20551,4
20553,1
20558,3
20559,1
20560,1
20561,0
20565,2
20567,1
20568,0
20570,1
20572,4
20576,3
20577,3
20579,4
20580,3
20583,4
20588,0
20593,3
20597,0
20599,4
20601,0
20602,0
20604,1
20605,2
20606,4
20609,0
20611,3
20617,0
20622,2
20623,3
20628,2
20632,4
20633,3
20636,0
20638,3
20641,4
20642,2
20646,1
20647,4
20649,3
20652,4
20653,4
20659,3
20660,2
20661,2
20663,0
20666,0
20670,0
20672,2
20678,0
20682,3
20684,0
20691,3
20693,1
20705,4
20706,2
20708,4
20714,1
20721,0
20724,2
20733,0
20737,2
20828,1
20852,2
20865,1
20907,3
