product_id,cluster_dtw
20001,4
20002,3
20003,1
20004,4
20005,4
20006,1
20007,1
20008,2
20009,0
20010,1
20011,1
20012,2
20013,2
20014,0
20015,3
20016,1
20017,2
20018,2
20019,2
20020,2
20021,2
20022,2
20023,2
20024,1
20025,4
20026,4
20027,0
20028,2
20029,2
20030,2
20031,3
20033,0
20035,3
20037,1
20038,0
20039,2
20041,1
20043,1
20044,0
20045,1
20046,1
20047,0
20049,3
20050,0
20051,0
20052,1
20053,2
20055,2
20056,4
20057,0
20058,0
20059,0
20062,4
20063,0
20065,4
20066,0
20067,0
20068,1
20069,0
20071,0
20073,4
20074,0
20077,2
20079,2
20081,0
20085,3
20091,0
20092,4
20095,3
20097,0
20099,2
20102,1
20106,1
20114,0
20118,1
20119,3
20126,4
20135,4
