product_id,tn,tn_predicho,tn_clase
20001,1504.68856,1273.323718608992,5
20002,1087.30855,1354.0594851134151,5
20003,892.50129,964.7915829128445,5
20004,637.90002,586.9358335342658,5
20005,593.24443,647.9937111987734,5
20006,417.23228,333.5045077529543,4
20007,390.43432,309.1492558109072,4
20008,195.36854,303.0712908091763,4
20009,495.03574000000003,570.7850278773752,4
20010,359.59998,363.3690152067254,4
20011,392.3829,258.24117271819273,4
20012,173.13004,268.3941089560708,4
20013,318.09141,300.2732858148071,4
20014,272.02812,374.7810222045556,4
20015,297.27663,248.13349208585402,4
20016,273.20202,241.83375475718884,4
20017,216.90773,184.4478053070102,4
20018,141.63569999999999,209.33674972514433,3
20019,351.54708,308.0820662246796,4
20020,266.06358,214.95772012720386,4
20021,203.76721,205.72683802398555,4
20022,210.8346,282.09732175450205,4
20023,181.13277,239.47101434858777,4
20024,270.45018,116.77716592245555,4
20025,241.83432000000002,243.93043646221003,4
20026,235.10419,259.30983882507775,4
20027,155.25876,201.04581303487907,4
20028,109.92618,278.16804273236335,3
20029,150.64869,126.61336214056847,4
20030,102.7572,87.4272140316468,3
20031,139.91577,266.6232892868127,3
20032,527.79811,572.4286888044863,5
20033,96.76212,111.94007174329941,3
20035,179.97912,119.59912533324402,4
20037,63.37274,88.32241141849093,3
20038,157.68477000000001,109.52900366791802,4
20039,128.40394,113.732450642047,3
20041,113.11379,103.44958612394835,3
20042,124.20086,111.35116934518139,3
20043,93.77222,113.86680210491747,3
20044,59.61747,175.89764837560972,3
20045,149.89961,108.65951814798002,3
20046,149.9563,125.8869532290212,3
20047,71.49763,114.81613974209876,3
20049,124.84836,190.75683355807615,3
20050,117.02742,117.1928492034944,3
20051,132.46038000000001,97.24565521574297,3
20052,95.51068,104.87930152432503,3
20053,146.36584,113.15939051565307,3
20054,121.2091,124.04227723297413,3
20055,65.85747,101.21547869481778,3
20056,63.7182,91.77780446507761,3
20057,141.36774,83.81314766842691,3
20058,117.82985,88.42420323823298,3
20059,111.51138999999999,106.51094846928184,3
20061,106.44895,100.34441077581573,3
20062,90.97637,85.49618729710018,3
20063,103.52372,119.1326775660907,3
20065,77.98518,98.64564730393057,3
20066,119.28134,117.39444802714588,3
20067,88.49566,86.04102363939367,3
20068,92.92737,81.6346572606023,3
20069,136.63984,114.3348340263123,3
20070,68.44316,97.2777484472628,3
20071,104.77091,96.9908035495991,3
20072,32.2686,76.87930267457463,2
20073,122.47019,95.67390872872959,3
20074,98.07553,65.54622041505132,3
20075,105.42961,102.03080222450401,3
20076,68.45922,77.49566006416866,3
20077,34.58847,75.65386920509502,2
20079,27.68496,41.18862669794476,2
20080,8.84426,96.45059372133788,1
20081,94.25871,73.38500701267749,3
20082,78.87082,40.556176183974884,3
20084,94.68236,128.25756433287668,3
20085,221.56404,126.71052328262692,4
20086,42.51979,67.95800496438606,2
20087,89.63008,70.00539871170544,3
20089,102.33626,187.26769160383827,3
20090,35.97712,37.64927954199694,2
20091,92.24345,86.80139931763874,3
20092,47.45286,64.70832193205767,2
20093,73.28412,81.93792381637657,3
20094,59.12954,102.97099441201091,3
20095,28.52853,87.87874262461814,2
20096,44.24611,67.13406672638885,2
20097,55.29078,68.07029582760106,3
20099,57.827130000000004,62.04741281637623,3
20100,1.3792,94.45662254337698,1
20101,72.80091,69.85906644963161,3
20102,19.17797,34.01984885954463,2
20103,63.99622,70.06177445234766,3
20106,74.51262,60.98463660213506,3
20107,86.05666,72.20515787014416,3
20108,58.34718,66.72755155057358,3
20109,61.8432,38.93837127306727,3
20111,93.88818,75.26820325552453,3
20112,107.06263,69.10423572252445,3
20114,44.16048,66.44248052300581,2
20116,118.60205,113.11748428556153,3
20117,36.0325,31.224371006919966,2
20118,61.15123,64.41868213517563,3
20119,36.26867,97.222350400535,2
20120,72.21068,56.88480029670542,3
20121,78.96685000000001,95.18523203071004,3
20122,64.62255,63.4577218765459,3
20123,59.148179999999996,53.525792902475395,3
20124,38.10841,67.54595706371413,2
20125,47.559329999999996,71.35592562544842,2
20126,94.95288,89.46026781866814,3
20127,170.32792,287.3084040265637,4
20129,52.92339,67.636402681796,3
20130,83.3077,108.16168953180343,3
20132,40.09161,64.64374757432681,2
20133,30.835350000000002,63.614146937582234,2
20134,49.98357,62.776587692189395,2
20135,101.03175,101.97564982970309,3
20137,37.55127,63.120643273106054,2
20138,28.33495,33.9346952259397,2
20139,53.48889,74.50942810780462,3
20140,58.149,66.41840522749182,3
20142,35.89411,29.490114103779366,2
20143,29.92779,104.3507655058718,2
20144,41.30604,33.03840862357031,2
20145,65.41274,62.65228774836633,3
20146,30.472260000000002,65.05777503290366,2
20148,57.163380000000004,56.67220907773229,3
20150,51.35196,115.78359179665411,3
20151,44.81184,39.871490194597655,2
20152,23.926669999999998,25.76153686622253,2
20153,48.78881,80.51198254047394,2
20155,61.25175,55.42593971093856,3
20157,55.77624,94.90143558790565,3
20158,55.02588,66.5316993689466,3
20159,61.78339,86.01812898842289,3
20160,43.18815,37.16338908968487,2
20161,34.9225,61.56759954072214,2
20162,51.43634,63.751930558264576,3
20164,71.3349,71.24709179734946,3
20166,33.52579,38.19700408231005,2
20167,43.851729999999996,32.414579535626295,2
20168,15.155560000000001,22.764759742492757,2
20170,64.4108,83.64288021125496,3
20174,91.1178,97.85098207164951,3
20175,19.70895,38.29442349992194,2
20176,23.87612,33.45381066829126,2
20177,24.51696,33.52871687127053,2
20179,39.70194,23.425878030741593,2
20180,36.95611,34.1112409987778,2
20181,33.36284,27.789949143684073,2
20182,20.87961,35.13903527864355,2
20183,20.47573,25.130629877589424,2
20184,26.13296,31.362211294634363,2
20187,19.99026,35.01640112657591,2
20188,22.88825,35.05810795886884,2
20189,32.59489,42.75848946686416,2
20192,21.45354,23.013692806058284,2
20193,24.92724,31.886086765488784,2
20196,35.180600000000005,31.879327053902276,2
20197,27.90918,22.383402073491336,2
20198,22.40804,25.67825144833888,2
20200,20.87857,27.79379594025208,2
20201,26.166990000000002,30.08083535694469,2
20202,24.48113,26.106863094265844,2
20203,55.2097,56.31009460498251,3
20205,29.13191,26.47666853717225,2
20206,23.43432,22.574283466250478,2
20207,18.51692,18.66588633462471,2
20208,20.14227,24.25176674056434,2
20209,16.08116,21.342717583851893,2
20210,58.78261,105.35366457144076,3
20211,16.10922,24.238744552013195,2
20212,22.494790000000002,35.89500195549486,2
20213,58.84043,76.87045668391016,3
20215,23.14009,28.18115362274552,2
20216,9.20284,16.18740838535946,1
20218,31.369320000000002,29.408064320308718,2
20219,23.10671,17.728760653443942,2
20220,19.46485,23.14855933614842,2
20222,21.01334,20.56217139165038,2
20224,21.26943,30.525126316693353,2
20225,16.66252,19.81096100253002,2
20226,11.32801,18.821798644869975,2
20227,38.712650000000004,62.81392948005406,2
20228,5.0385100000000005,7.032296844061259,1
20230,18.17921,17.69979098835122,2
20231,21.31542,19.90583964411165,2
20232,28.2828,38.73940881405265,2
20233,35.59532,18.186266622865194,2
20234,4.84796,4.927949283741341,1
20235,32.13552,34.69596401289731,2
20236,34.70341,71.02682760730943,2
20237,29.51673,36.86785524898117,2
20238,16.61631,23.747282277401947,2
20239,20.10279,15.742725425322671,2
20240,19.51977,19.614422267083317,2
20241,12.8158,21.09894740956181,2
20242,4.03604,17.03901172830545,1
20244,26.46154,20.886018359677966,2
20246,24.60939,19.35696169012958,2
20249,8.00053,7.971336112537639,1
20251,14.79641,26.915902799116378,2
20252,12.20597,18.740127318336935,2
20253,15.26885,16.239858795723762,2
20254,17.46847,21.40535622329513,2
20255,12.15816,7.735603278786148,2
20256,17.63436,20.087361270865074,2
20257,51.77148,58.54914549598378,3
20259,12.43223,15.733254715148545,2
20261,43.74576,73.21347302667346,2
20262,25.6396,27.604346025576106,2
20263,20.855059999999998,20.34172567057412,2
20264,16.582530000000002,16.694246187856194,2
20265,4.57848,4.594126944424724,1
20266,49.55769,28.719722249792913,2
20267,18.01748,20.072457687832625,2
20268,11.99271,20.3049088699486,2
20269,19.13008,21.30152393951883,2
20270,6.778370000000001,22.948062338014665,1
20271,8.34905,16.584477065657044,1
20272,12.66437,15.835713376673684,2
20273,12.4634,19.83138722483151,2
20275,14.93964,19.972652983333916,2
20276,18.62694,17.736876920994128,2
20277,9.61208,17.380392076462627,1
20278,6.27424,8.06549183529788,1
20280,17.02489,15.654132757224268,2
20281,9.81001,17.32128298893139,1
20282,12.8247,19.80709332764409,2
20283,12.82352,15.31534793044875,2
20284,11.79748,17.72687727750713,2
20285,4.3322,13.746148198038066,1
20286,50.55931,40.72771800703032,3
20288,21.12175,15.472106158244605,2
20289,10.01,19.67949598886672,2
20290,21.56585,22.177798313988365,2
20291,9.75289,17.21368530556633,1
20292,9.80518,15.631556210867428,1
20295,6.04878,17.613999417282635,1
20296,18.64666,14.643127622859119,2
20297,35.089,25.819385721089503,2
20298,11.28594,19.520928841282537,2
20299,10.61151,19.341167925346447,2
20300,17.14787,14.710514330280589,2
20301,8.31315,16.484495898661777,1
20302,2.35687,2.194617132116988,1
20303,18.3878,18.347581239548692,2
20304,5.88588,3.4300664235150884,1
20305,2.56676,1.9954128278882792,1
20306,32.270920000000004,30.99568151467604,2
20307,13.525310000000001,17.716664533180246,2
20309,8.112119999999999,16.991896580019237,1
20310,9.749849999999999,22.48602053340256,1
20311,18.16724,17.25609228661885,2
20313,27.15804,18.47385906592333,2
20314,18.852050000000002,15.19586063712511,2
20315,16.64451,15.641783463379747,2
20316,27.23436,28.90830999013079,2
20317,14.823310000000001,14.893240662542853,2
20319,11.81172,13.208040828282932,2
20320,13.48012,15.057619885045,2
20321,27.62797,21.97187907013105,2
20322,5.57864,6.492653280278007,1
20323,24.40797,23.61318166959214,2
20324,10.957410000000001,14.068308470878828,2
20325,5.26778,5.0649394374561165,1
20326,15.6484,14.663320220658804,2
20327,11.90046,14.363150808266699,2
20328,9.333870000000001,4.09502042363563,1
20329,11.05355,13.395960254338453,2
20330,13.79536,13.908060332168715,2
20332,12.96845,13.042574681110517,2
20334,0.18631999999999999,20.523773130442606,1
20335,11.7811,13.894459702581884,2
20336,8.61019,14.402017112600934,1
20337,13.82469,18.387652610942194,2
20338,8.13739,15.547626952304732,1
20340,8.06882,20.03816569235807,1
20341,8.46183,12.745908698526158,1
20342,11.97748,16.115176537256684,2
20343,11.96007,15.728868226024176,2
20344,15.9908,20.30123134856196,2
20346,14.96339,4.925692745854273,2
20348,11.72618,16.15781863435549,2
20349,17.46373,12.897946341837343,2
20350,1.23931,2.1208072028116085,1
20351,14.08152,22.97601147345512,2
20352,17.35029,16.527310199837736,2
20353,6.63564,13.218823762351926,1
20354,12.29584,13.790763548368803,2
