product_id,tn,tn_predicho
20001,1504.68856,1107.8307788133018
20002,1087.30855,1232.1962658759448
20003,892.50129,1192.5995026819826
20004,637.90002,711.9131321107415
20005,593.24443,609.2858721005731
20006,417.23228,373.2792512867465
20007,390.43432,291.04797642132087
20008,195.36854,302.757123541218
20009,495.03574000000003,551.4475319922147
20010,359.59998,299.65024756058466
20011,392.3829,269.05260237098196
20012,173.13004,267.2316672975673
20013,318.09141,324.90869705827345
20014,272.02812,383.6992261719427
20015,297.27663,249.63227343005974
20016,273.20202,205.81200036461698
20017,216.90773,178.53291622452352
20018,141.63569999999999,201.07320603311175
20019,351.54708,298.35624380640945
20020,266.06358,236.75108314650382
20021,203.76721,196.2218342646637
20022,210.8346,304.2862178102585
20023,181.13277,259.33583000812786
20024,270.45018,160.83806791765167
20025,241.83432000000002,211.92026100319865
20026,235.10419,259.42498062464966
20027,155.25876,176.92263001485296
20028,109.92618,241.00552639071228
20029,150.64869,123.61814922057779
20030,102.7572,83.7784639954773
20031,139.91577,234.51118313430166
20032,527.79811,525.7667765748434
20033,96.76212,166.5486763054308
20035,179.97912,122.53554383882103
20037,63.37274,86.72030056182926
20038,157.68477000000001,120.77028115671162
20039,128.40394,133.14339859898448
20041,113.11379,144.40252821588513
20042,124.20086,173.73276891424428
20043,93.77222,119.02696079071596
20044,59.61747,158.87894312946028
20045,149.89961,127.17003116717386
20046,149.9563,137.93342829097227
20047,71.49763,148.61746755113674
20049,124.84836,169.1497053561556
20050,117.02742,106.92254416037625
20051,132.46038000000001,116.86314901133757
20052,95.51068,123.27232783615828
20053,146.36584,118.12017029027353
20054,121.2091,133.03721015870016
20055,65.85747,116.14794843791995
20056,63.7182,110.5907012320917
20057,141.36774,96.35868067877844
20058,117.82985,86.96413424704711
20059,111.51138999999999,110.28410545880925
20061,106.44895,110.2855189595439
20062,90.97637,79.72584180750643
20063,103.52372,116.90139866402372
20065,77.98518,105.83115000909548
20066,119.28134,103.0414826973735
20067,88.49566,78.04380734382056
20068,92.92737,87.16060613336559
20069,136.63984,102.25095200546514
20070,68.44316,102.6618160721127
20071,104.77091,109.40150045976037
20072,32.2686,79.68095574742354
20073,122.47019,94.37502105840267
20074,98.07553,59.502284612058745
20075,105.42961,102.29919497553941
20076,68.45922,102.08094861284968
20077,34.58847,87.49462382900712
20079,27.68496,44.3194706853941
20080,8.84426,104.3122260243049
20081,94.25871,78.05746001284946
20082,78.87082,57.98127422631441
20084,94.68236,153.0707254836607
20085,221.56404,178.2182830067067
20086,42.51979,58.06309135163787
20087,89.63008,67.38884051280056
20089,102.33626,177.55270612150704
20090,35.97712,43.07018794501436
20091,92.24345,86.64213071034422
20092,47.45286,54.20832792364409
20093,73.28412,79.49949681635533
20094,59.12954,101.07222304906212
20095,28.52853,80.61965892647184
20096,44.24611,62.34144487777417
20097,55.29078,61.68521755172819
20099,57.827130000000004,55.70633313988484
20100,1.3792,115.84146620844083
20101,72.80091,79.21784599210244
20102,19.17797,41.928061076170856
20103,63.99622,68.79488891461638
20106,74.51262,58.43300332716496
20107,86.05666,72.80236644884997
20108,58.34718,62.06088284935002
20109,61.8432,40.9909652880142
20111,93.88818,57.73389616702986
20112,107.06263,69.93681141800815
20114,44.16048,61.33499827560684
20116,118.60205,142.09720387427512
20117,36.0325,45.8996129008551
20118,61.15123,60.62164150478262
20119,36.26867,127.12604044847166
20120,72.21068,56.38103255796821
20121,78.96685000000001,93.11815443197045
20122,64.62255,63.87028426707586
20123,59.148179999999996,52.14186645290332
20124,38.10841,51.40887026792962
20125,47.559329999999996,66.42558885248812
20126,94.95288,88.7972003442832
20127,170.32792,229.00557124725987
20129,52.92339,56.99248771055195
20130,83.3077,103.30978638827162
20132,40.09161,62.90992893873191
20133,30.835350000000002,60.55421603872233
20134,49.98357,62.07330157637953
20135,101.03175,105.73434536484456
20137,37.55127,55.64505723701772
20138,28.33495,37.28496824536619
20139,53.48889,60.729912877450865
20140,58.149,64.7639712553283
20142,35.89411,38.33575877496076
20143,29.92779,101.65121850257235
20144,41.30604,50.120579868361915
20145,65.41274,64.77731250553109
20146,30.472260000000002,57.94959540056951
20148,57.163380000000004,56.0557836129607
20150,51.35196,175.2185244773294
20151,44.81184,52.56001516713655
20152,23.926669999999998,26.698398890996085
20153,48.78881,96.86103576520928
20155,61.25175,71.9375987054332
20157,55.77624,91.7106804759843
20158,55.02588,60.308908032571736
20159,61.78339,79.43545183028839
20160,43.18815,41.07677269037576
20161,34.9225,55.829135734679035
20162,51.43634,50.773848960171364
20164,71.3349,60.09641081724319
20166,33.52579,39.0728403837378
20167,43.851729999999996,45.88620416184103
20168,15.155560000000001,26.002623187564414
20170,64.4108,82.26081427837808
20174,91.1178,108.63051606002597
20175,19.70895,39.86134951089682
20176,23.87612,33.740548894982105
20177,24.51696,36.27673492497691
20179,39.70194,34.595163924234356
20180,36.95611,33.3207933023745
20181,33.36284,32.873507585845395
20182,20.87961,34.810252792817096
20183,20.47573,23.597767889530505
20184,26.13296,31.658689515461788
20187,19.99026,33.03188110257694
20188,22.88825,31.79923265801196
20189,32.59489,41.23424281256856
20192,21.45354,21.26576425369379
20193,24.92724,29.907064401806817
20196,35.180600000000005,29.884673474567773
20197,27.90918,23.411663108318482
20198,22.40804,33.86412227784159
20200,20.87857,32.11605815861255
20201,26.166990000000002,26.05012760788459
20202,24.48113,29.279080143340693
20203,55.2097,50.75420131748852
20205,29.13191,28.88711169698932
20206,23.43432,22.434092411683327
20207,18.51692,16.122094287298115
20208,20.14227,25.692282346292313
20209,16.08116,20.662013391326454
20210,58.78261,99.07134842756503
20211,16.10922,22.602642977625123
20212,22.494790000000002,36.94395744700477
20213,58.84043,82.03813693651941
20215,23.14009,24.296370624287086
20216,9.20284,16.26439005642422
20218,31.369320000000002,32.94895628903126
20219,23.10671,21.821233558277704
20220,19.46485,23.751604561459242
20222,21.01334,20.81706000384514
20224,21.26943,34.40944406944602
20225,16.66252,18.24577205294989
20226,11.32801,18.40677741117443
