product_id,cluster_dtw
20001,1
20002,0
20003,2
20004,3
20005,3
20006,4
20007,0
20008,4
20009,4
20010,2
20011,0
20012,2
20013,3
20014,3
20015,3
20016,0
20017,2
20018,2
20019,0
20020,2
20021,0
20022,4
20023,3
20024,0
20025,0
20026,3
20027,4
20028,3
20029,4
20030,0
20031,4
20032,1
20033,3
20035,0
20037,0
20038,2
20039,4
20041,4
20042,0
20043,0
20044,3
20045,3
20046,3
20047,4
20049,1
20050,3
20051,0
20052,0
20053,4
20054,0
20055,2
20056,3
20057,3
20058,2
20059,4
20061,0
20062,2
20063,0
20065,4
20066,4
20067,4
20068,3
20069,2
20070,4
20071,4
20072,4
20074,0
20075,3
20076,2
20077,0
20079,4
20080,0
20081,0
20082,2
20084,1
20085,1
20086,3
20087,0
20089,0
20090,4
20091,4
20092,0
20093,4
20094,0
20096,0
20097,0
20099,0
20100,3
20101,0
20102,2
20103,2
20106,4
20107,3
20108,0
20109,4
20111,1
20112,1
20114,4
20117,4
20118,2
20119,3
20123,4
20124,0
20129,3
20130,1
20135,1
20137,3
20140,2
20145,0
20151,4
20153,0
20155,0
20158,1
20160,1
20161,3
20196,2
20198,3
20200,3
20201,4
20207,0
20254,3
20264,0
