product_id,cluster_dtw
20001,4
20002,3
20003,0
20004,4
20005,4
20006,0
20007,0
20008,2
20009,4
20010,0
20011,2
20012,1
20013,2
20014,4
20015,4
20016,1
20017,1
20018,1
20019,2
20020,0
20021,0
20022,2
20023,4
20024,2
20025,4
20026,1
20027,4
20028,2
20029,1
20030,1
20031,0
20032,3
20033,0
20035,1
20037,1
20038,1
20039,2
20041,0
20042,2
20043,2
20044,2
20045,1
20046,2
20047,0
20049,0
20050,0
20051,2
20052,2
20053,4
20054,2
20055,2
20056,0
20057,1
20058,1
20059,2
20061,4
20062,2
20063,2
20065,2
20066,1
20067,2
20068,2
20069,0
20070,4
20071,1
20072,0
20073,4
20074,0
20075,2
20076,1
20077,1
20079,1
20080,2
20081,0
20082,2
20084,1
20085,3
20086,2
20087,0
20089,0
20090,4
20091,0
20092,2
20093,2
20094,2
20095,1
20096,0
20097,2
20099,2
20100,1
20101,0
20102,0
20103,0
20106,0
20107,4
20108,2
20109,2
20111,2
20112,4
20114,2
20116,3
20117,2
20118,0
20119,1
20120,2
20121,0
20122,0
20123,2
20124,2
20125,4
20126,4
20127,3
20129,2
20130,3
20132,0
20133,1
20134,4
20135,3
20137,2
20138,2
20139,0
20140,0
20142,1
20143,3
20144,1
20145,3
20146,0
20148,1
20150,3
20151,2
20152,1
20153,3
20155,3
20157,3
20158,4
20159,3
20160,1
20161,0
20162,4
20164,4
20166,2
20167,3
20168,2
20170,4
20174,3
20175,1
20176,0
20177,2
20179,4
20180,0
20181,2
20182,2
20183,2
20184,2
20187,1
20188,4
20189,2
20192,2
20193,1
20196,2
20197,2
20198,2
20200,3
20201,4
20202,0
20203,3
20205,2
20206,2
20207,1
20208,2
20209,1
20211,2
20212,2
20213,3
20215,2
20216,0
20219,2
20220,2
20222,4
20224,0
20225,4
20226,1
20227,3
20228,2
20230,0
20231,0
20232,3
20233,4
20234,1
20235,3
20236,3
20237,3
20238,0
20239,4
20240,0
20241,2
20242,1
20244,2
20246,2
20249,1
20251,4
20252,2
20253,1
20254,4
20255,0
20256,2
20259,2
20261,3
20263,4
20264,4
20265,0
20266,3
20267,4
20268,2
20269,2
20270,0
20271,2
20272,2
20273,2
20275,2
20276,2
20277,4
20278,2
20280,2
20281,2
20282,3
20283,2
20284,2
20285,0
20288,4
20289,2
20290,4
20291,4
20292,2
20295,4
20296,2
20297,3
20298,0
20299,1
20300,0
20303,3
20304,1
20307,2
20309,0
20310,2
20311,2
20313,3
20314,3
20315,2
20316,3
20317,0
20319,0
20320,2
20321,3
20322,0
20323,3
20325,0
20326,2
20327,0
20328,1
20329,0
20330,0
20332,2
20334,0
20335,2
20337,0
20338,2
20340,0
20341,2
20342,2
20343,0
20344,4
20346,2
20348,4
20349,2
20351,0
20352,1
20353,2
20356,4
20357,2
20358,2
20359,2
20361,1
20364,0
20366,0
20367,1
20368,0
20372,2
20375,2
20377,4
20378,1
20379,2
20380,3
20381,1
20382,2
20383,1
20384,2
20385,2
20386,2
20388,0
20389,0
20390,0
20395,3
20396,0
20404,2
20406,4
20408,0
20409,0
20415,0
20417,4
20418,1
20419,2
20426,1
20428,1
20433,3
20438,3
20443,2
20447,4
20450,2
20456,1
20466,0
20469,3
20473,0
20474,3
20479,1
20480,1
20490,0
20509,1
20513,4
20520,4
20524,0
20530,0
20532,0
20553,0
20559,0
20567,0
20588,0
20611,3
20666,1
